video_id,like_count_mean,like_count_sum,like_count_std,comment_length_mean,comment_length_std,word_count_mean,word_count_std,total_reply_count_sum
JKoRuqjjYM4,1.3,13,2.26,49.9,39.89,9.9,7.0,0
JMh44cq60UE,49.87,1496,120.49,79.93,104.39,13.8,19.14,31
JQz0NNQLV9A,0.44,4,0.88,80.78,96.18,14.33,15.91,2
JSt4SZ7i5F0,27.8,834,66.03,127.77,168.97,23.7,32.78,7
JWOR5Y-qmfg,58.57,1757,154.2,86.77,114.82,15.47,19.58,54
JYCCK7R9DUk,21.27,638,53.93,81.9,62.47,15.27,11.05,26
JZln56h2GkM,10.2,306,26.15,109.87,76.86,20.6,14.66,7
Jao__pHTv9Y,43.87,1316,125.39,79.73,66.74,14.77,13.05,26
Jcoam1CeAq4,28.47,854,69.29,115.03,93.34,20.7,15.62,8
JuCIU6FpQLs,0.71,5,1.11,210.43,262.07,40.57,49.57,0
JwhsPdN2RNg,70.87,2126,161.57,103.47,78.65,19.03,13.97,15
JzprzToSzXg,17.07,512,49.99,113.87,87.69,20.1,15.41,19
K-Y4NvGHMyc,5.79,110,8.42,141.68,237.22,27.37,50.39,3
K-ssUVyfn5g,228.03,6841,633.7,256.2,619.58,45.57,102.07,52
K3eS4jr2pIo,393.77,11813,1175.65,99.33,160.84,18.23,29.31,112
K5bvWmvtarI,10.47,314,22.06,598.8,912.87,108.7,162.87,2
KMFR0kj0CE0,13.67,82,16.73,165.67,240.91,29.33,44.39,0
KMskdqtR1yA,140.63,4219,340.5,59.93,42.33,11.1,7.49,56
Kppgzbun71I,163.9,4917,349.71,70.33,133.17,11.83,19.77,43
KrrqVODE2O4,141.33,4240,184.99,116.7,94.24,21.57,17.28,39
Ksjt_I8rDrE,1301.0,39030,3792.6,67.7,92.37,12.0,16.57,110
KvDHMeJJ_cY,185.7,5571,474.93,125.73,143.68,21.8,25.75,50
KzlRU5xMOXY,17.96,431,57.89,72.29,76.58,13.17,12.71,22
L11WCsRqrIg,73.57,2207,169.5,115.63,131.78,20.17,22.83,41
LHaIPyTVelc,5.73,172,10.81,82.8,86.55,15.87,16.23,3
LOxn0iBAl5I,55.87,1676,122.73,78.9,140.57,14.23,25.89,36
LP4CUye2yHM,9.13,274,15.46,174.6,135.44,33.7,25.95,13
LQ3Mu8A7gjY,43.93,1318,129.01,73.07,57.66,14.0,11.0,30
LQRuaP2VFfA,148.83,4465,410.76,87.63,128.4,16.03,22.43,175
LXYjFsuVOoc,88.87,2666,241.87,240.67,390.98,41.9,69.87,31
LYypqnPLOaM,8.3,249,12.59,124.93,132.4,24.1,25.59,7
LeouHabV12s,42.07,1262,122.76,64.3,51.96,11.53,8.27,8
LidM6glzOU0,4.27,128,9.93,135.73,151.89,25.43,27.83,7
Lmkjr3AOTmk,0.59,13,1.33,70.68,89.14,12.18,15.17,2
LpM4QXb9lhk,1.28,23,3.54,87.17,85.64,16.67,16.25,5
LpjF5K0SXH8,4.25,17,4.57,19.0,13.29,3.5,2.38,0
Lsq6gN1_FLo,11.73,352,36.23,71.73,44.92,13.1,7.77,6
Lt-T-tqasUM,15.37,461,35.93,115.07,106.09,22.33,20.98,13
Lt54CX9DmS4,286.87,8606,756.98,358.63,972.9,57.73,151.02,76
LtgeCKpsgEc,11.97,359,36.52,78.63,60.77,13.57,10.01,6
Lx1q-9DMfBc,17.3,519,74.62,49.2,57.75,8.8,9.68,17
Lx1r5lSgLM0,1.23,27,3.02,107.23,142.69,20.0,25.56,1
M1js7_gglOc,30.43,913,97.83,122.27,115.57,22.1,21.88,18
M5y69v1RbU0,283.07,8492,995.55,171.17,162.43,28.73,27.89,71
M6mFP3NzxrQ,20.3,609,43.01,166.03,153.88,31.83,30.14,5
M92j0t_rjNs,2.12,17,3.4,58.62,38.03,10.12,6.15,1
M9CCE5bx0so,0.33,2,0.82,39.5,39.12,7.33,6.47,0
MFXWY8TqSWw,39.77,1193,106.38,197.07,185.66,35.67,34.16,140
MN1CR7PE0LQ,18.07,542,49.06,109.57,98.76,19.87,18.22,23
MPECDuOUBEY,28.73,862,61.56,167.93,141.93,30.6,25.05,62
MZqCZ_KT-70,59.07,1772,160.35,133.67,119.16,24.6,21.54,91
M_VLcEMPXzk,353.83,10615,1049.13,105.1,126.38,17.73,21.21,110
M_bCVdB1jRY,158.57,4757,344.35,65.97,70.75,12.43,12.82,42
MbumNLXwZqc,4.27,128,11.34,80.4,72.83,15.1,13.58,1
MgI6iquuuzA,63.67,1910,103.63,145.17,64.78,26.37,12.22,47
MhUljoWSzSk,2.0,8,2.31,63.25,52.73,12.5,11.82,0
MiPtCN_fJbA,59.1,1773,223.91,125.03,174.38,22.7,30.48,3
MoGTXsusX6Q,40.57,1217,110.57,184.17,287.92,34.77,56.92,37
MpevcHafHZI,7.23,217,19.54,74.47,61.34,13.8,11.4,5
MqXjqOy-TA8,71.5,2145,214.94,312.17,344.18,56.0,60.82,21
Ms4xcowxG9g,3.1,93,5.54,174.7,360.29,32.97,68.49,2
Mtknzfv9dUY,4.19,109,8.98,54.0,52.88,9.73,9.51,8
N0xpPCJK9iE,44.97,1349,94.92,173.4,514.81,31.23,91.22,14
N24X8kK7H4Q,235.27,7058,593.47,92.47,124.96,16.27,22.43,81
N282bXQYRFc,255.47,7664,747.6,76.1,104.26,14.07,18.3,44
N3kva4sR1hQ,12.23,367,35.05,54.63,37.85,10.53,7.4,2
NL2Vq32jyeo,38.03,1141,107.77,144.53,189.93,23.07,30.23,18
NWfIrmIgaCU,16.83,505,40.07,162.67,151.89,29.7,28.38,32
NquuITL9-ZA,27.87,836,55.41,208.3,361.49,36.87,63.74,22
Nwvefe71xQM,1.0,9,1.0,75.22,91.95,11.11,11.13,1
Ny3u3Z85KdQ,161.43,4843,602.7,139.57,208.25,23.83,33.99,67
O3m14PVOq_g,634.23,19027,1747.6,104.47,112.34,18.77,19.35,245
O96Y3-ldp10,54.3,1629,176.9,93.83,96.64,17.4,18.41,18
OA9tU1G6O-s,41.7,1251,102.34,115.67,74.94,21.23,14.49,21
OAEopgIpv38,799.3,23979,2305.69,37.63,42.55,6.43,6.55,86
OC5kWKRA_0Y,3.0,27,2.96,37.89,21.17,7.0,3.24,13
ODl5FOMu8kI,223.77,6713,571.94,86.1,87.28,15.7,16.23,28
OK1Eic3oBs4,55.1,1653,144.54,117.67,94.77,19.67,15.72,20
OLK52vT1YOA,53.2,1596,106.5,160.97,195.83,30.57,36.23,37
ONG26-2mIHU,392.03,11761,950.08,161.1,213.73,29.87,39.3,77
ONI0H61Fk_s,5.27,158,8.57,175.33,164.68,32.63,30.6,4
OOXo92zCNME,1.69,22,3.54,46.38,27.69,8.77,5.2,0
OP3dA2GcAh8,208.17,6245,628.23,118.5,144.26,21.43,25.61,58
OQhqv_0d-nw,17.0,510,42.44,229.57,217.08,38.5,33.75,25
OQs0fYHPzho,0.58,7,1.0,58.0,44.81,11.08,8.27,0
OgBF3N3MhYw,60.8,1824,148.04,143.07,182.46,26.83,34.72,39
OksWjaMxUOQ,2.54,33,3.48,80.38,68.0,12.23,8.84,1
OlPO8f-AAJk,55.5,1665,105.16,261.57,198.77,46.4,35.41,14
OlQdgKmxSEI,25.63,769,64.75,82.4,81.29,13.83,13.38,25
OlU5OWWqPcQ,172.27,5168,510.25,59.83,64.32,11.3,11.63,97
OlbtSJWLKuU,67.7,2031,146.81,75.47,78.87,13.07,13.98,37
Oq4c-_iAzQo,229.7,6891,559.68,49.87,69.95,9.23,13.52,63
OrElyY7MFVs,1576.4,47292,4424.35,110.4,108.65,19.6,19.23,165
OrkZvaigYQI,1.89,34,2.89,40.56,29.8,7.61,5.47,2
P-AAZFewuK4,3.56,89,12.45,79.24,66.23,14.44,12.22,7
P5S299Gy03M,8.97,269,18.23,63.3,58.95,11.17,9.87,9
P7KXFybHaPk,1.42,27,2.19,84.11,77.57,14.53,11.85,4
PBOc7IY3ijM,0.0,0,0.0,69.0,33.24,12.0,6.98,2
PCtQ6sipdqA,107.7,3231,273.61,126.93,194.15,21.7,29.78,148
PHgdXWZLs9g,52.77,1583,121.25,132.67,120.78,24.67,22.39,30
PKwtART-z5M,23.7,711,55.61,86.97,78.06,16.27,14.63,17
POwUgP1rxoo,57.4,1722,216.67,98.47,78.38,16.53,13.89,16
PQWWKAtYmG4,41.63,1249,101.77,153.57,221.86,28.43,38.22,17
PUB8gsKhap0,0.78,7,1.09,71.0,51.87,13.0,8.67,2
PcMVfAb9sxI,49.07,1472,126.51,122.47,124.59,21.47,20.65,15
PdlRNq3eMkQ,3.39,95,5.69,93.86,93.59,17.64,17.55,9
PhrhAa8P9wM,171.33,5140,402.07,92.87,121.68,17.47,22.4,26
PmQbnKzhqGE,5.37,161,16.25,154.13,248.38,27.73,43.36,8
PmWjZkHOYuQ,8.97,269,26.55,66.6,54.86,11.7,9.48,6
Pr0mI_gkS4k,1.86,41,4.16,72.23,69.24,12.68,10.4,2
PtMLCL_T2ak,60.93,1828,170.26,191.9,412.08,35.93,74.87,44
